Subset,N_features,Classifier,AUC_mean,AUC_std
Decaying,6,LR,0.5424564132104455,0.01522394051568511
Decaying,6,RF,0.604406490015361,0.012051852018267932
Decaying,6,TabPFN,0.6088851766513057,0.022098396222396247
Non-decaying,51,LR,0.6496071428571428,0.01973344060845894
Non-decaying,51,RF,0.610683371735791,0.020630171455557317
Non-decaying,51,TabPFN,0.6806582181259602,0.012634258224701437
All,57,LR,0.6422980030721966,0.018391552996623286
All,57,RF,0.5997242703533027,0.026854769758972705
All,57,TabPFN,0.6655192012288786,0.01117004371807965
